Family,Feature,review_name,verification_bucket,StrictClassification,WhyNotCounted,RelatedBuiltInsTriedOrConsidered,RecommendedTreatment
First-order intensity,COVERED_IMAGE_INTENSITY_RANGE,UNVETTED_NO_DIRECT_ORACLE__COVERED_IMAGE_INTENSITY_RANGE,UNVETTED_NO_DIRECT_ORACLE,Composite/no direct scalar,Nyxus normalizes ROI intensity range by whole-slide pre-ROI intensity range; package range/min/max primitives do not expose this feature-level scalar.,PyRadiomics/MIRP first-order features; generic NumPy/SciPy range primitives,Keep as Nyxus-specific composite unless an external tool exposes the same covered-image range feature.
First-order intensity,HYPERFLATNESS,UNVETTED_NO_DIRECT_ORACLE__HYPERFLATNESS,UNVETTED_NO_DIRECT_ORACLE,Higher-order moment primitive only,This is a sixth standardized central moment; SciPy-style moment primitives would require recreating the formula rather than calling a named feature.,SciPy/NumPy moments; PyRadiomics/MIRP first-order features,Keep as formula/spec guard rather than third-party built-in agreement.
First-order intensity,HYPERSKEWNESS,UNVETTED_NO_DIRECT_ORACLE__HYPERSKEWNESS,UNVETTED_NO_DIRECT_ORACLE,Higher-order moment primitive only,This is a fifth standardized central moment; package moment primitives do not expose a named hyperskewness feature.,SciPy/NumPy moments; PyRadiomics/MIRP first-order features,Keep as formula/spec guard rather than third-party built-in agreement.
First-order intensity,UNIFORMITY_PIU,UNVETTED_NO_DIRECT_ORACLE__UNIFORMITY_PIU,UNVETTED_NO_DIRECT_ORACLE,Domain formula/no direct scalar,Nyxus uses percent image uniformity; radiomics uniformity features are different histogram/probability features.,PyRadiomics Uniformity already tracked as different and above tolerance,Keep as convention-specific unless a PIU feature is exposed directly.
GLDZM,GLDZM_GLM,UNVETTED_NO_DIRECT_ORACLE__GLDZM_GLM,UNVETTED_NO_DIRECT_ORACLE,Radiomics mean-style no direct column,MIRP and PyRadiomics expose related GLDZM variance/non-uniformity features but not this Nyxus mean-style direct feature column.,MIRP 2.6.0; PyRadiomics 3.0.1,Do not derive from matrices for oracle coverage.
GLDZM,GLDZM_ZDM,UNVETTED_NO_DIRECT_ORACLE__GLDZM_ZDM,UNVETTED_NO_DIRECT_ORACLE,Radiomics mean-style no direct column,MIRP and PyRadiomics expose related GLDZM variance/non-uniformity features but not this Nyxus mean-style direct feature column.,MIRP 2.6.0; PyRadiomics 3.0.1,Do not derive from matrices for oracle coverage.
NGLDM,NGLDM_GLM,UNVETTED_NO_DIRECT_ORACLE__NGLDM_GLM,UNVETTED_NO_DIRECT_ORACLE,Radiomics mean-style no direct column,MIRP exposes many NGLDM features but not this Nyxus mean-style direct feature column; PyRadiomics uses GLDM rather than Nyxus NGLDM naming.,MIRP 2.6.0; PyRadiomics 3.0.1,Do not derive from matrices for oracle coverage.
NGLDM,NGLDM_DCM,UNVETTED_NO_DIRECT_ORACLE__NGLDM_DCM,UNVETTED_NO_DIRECT_ORACLE,Radiomics mean-style no direct column,MIRP exposes many NGLDM features but not this Nyxus mean-style direct feature column; PyRadiomics uses GLDM rather than Nyxus NGLDM naming.,MIRP 2.6.0; PyRadiomics 3.0.1,Do not derive from matrices for oracle coverage.
Gabor,GABOR,UNVETTED_NO_DIRECT_ORACLE__GABOR,UNVETTED_NO_DIRECT_ORACLE,Nyxus Gabor score,Packages expose Gabor filters or filtered images but not the Nyxus thresholded response score vector under Nyxus Gabor parameters.,scikit-image/OpenCV/MIRP Gabor-style primitives considered,Keep as Nyxus-specific score unless another package exposes the same score directly.
Shape and morphology subset,ROI_RADIUS_MEAN,UNVETTED_NO_DIRECT_ORACLE__ROI_RADIUS_MEAN,UNVETTED_NO_DIRECT_ORACLE,Incomparable radius convention,cp-measure and DIPlib expose linear distance-to-edge radius statistics; Nyxus stores squared nearest-contour distances for ROI pixels.,cp-measure MeanRadius; DIPlib Radius; Centrosome distance_to_edge,Do not count the coincidental mean agreement on this fixture.
